"rank"	"search_fit"	"robust_sweep"	"vs_tft"	"eps_0."	"eps_0.02"	"eps_0.05"	"eps_0.1"	"eps_0.15"	"eps_0.2"
1	2.5661	2.4767	0.1893	2.7809	2.6291	2.4974000000000003	2.3806000000000003	2.3066	2.2655000000000003
2	2.5629	2.4738	0.1865	2.7676000000000003	2.6404	2.4981	2.3657	2.3109	2.2604
3	2.5545	2.4828	0.19540000000000002	2.7345	2.6415	2.5194	2.4053	2.3159	2.2800000000000002
4	2.5507	2.4975	0.2101	2.7985	2.6813000000000002	2.5338000000000003	2.4034	2.3053	2.2625
5	2.5493	2.4965	0.2092	2.762	2.6773000000000002	2.5412	2.4113	2.3123	2.275
6	2.5479000000000003	2.4816000000000003	0.1942	2.7605	2.652	2.5193000000000003	2.388	2.3107	2.259
7	2.5405	2.4843	0.197	2.7776	2.6186000000000003	2.5138000000000003	2.3964000000000003	2.3279	2.2717
8	2.54	2.4864	0.1991	2.7732	2.6268000000000002	2.52	2.4037	2.3212	2.2737000000000003
9	2.5368	2.4824	0.1951	2.7559	2.6386000000000003	2.5209	2.4017	2.319	2.2586
10	2.5359000000000003	2.4981	0.2107	2.7555	2.673	2.5408	2.412	2.3264	2.2808
11	2.5357000000000003	2.4865	0.1991	2.7556000000000003	2.6428000000000003	2.5265	2.408	2.3139000000000003	2.2719
12	2.5352	2.4827	0.1953	2.7731000000000003	2.6182000000000003	2.5088	2.4023000000000003	2.3218	2.2717
13	2.5258000000000003	2.4816000000000003	0.1942	2.782	2.619	2.5092000000000003	2.3936	2.3223000000000003	2.2634000000000003
14	2.5242	2.4908	0.2034	2.7456	2.6637	2.5362	2.4036	2.3248	2.2707
