"rank"	"sweep_fit"	"open"	"p1"	"p2"	"p3"	"p4"	"p5"	"p6"	"p7"	"p8"	"p9"	"p10"	"p11"	"p12"	"p13"	"p14"	"p15"	"p16"
1	2.5660909999999997	0.9551000000000001	0.9925	0.5941000000000001	0	0.329	1	0.3583	1	0.5648000000000001	1	0.9995	0	0.11800000000000001	0.9775	0	0.8257	0
2	2.562942	0.9519000000000001	1	0.6276	0	0.3531	0.8788	0.2627	1	0.556	1	1	0	0	0.8226	0.012400000000000001	0.7029000000000001	0.025400000000000002
3	2.554547	0.9482	1	0.9860000000000001	0	0	1	0.2846	1	0.38420000000000004	0.9357000000000001	1	0.5772	0	0.9686	0	0.6703	0
4	2.5507	0.9745	0.9948	1	0	0.3482	0.9328000000000001	0.3947	0.9557	0.5635	1	1	0	0.10450000000000001	0.7246	0	0.8151	0.08460000000000001
5	2.5493419999999998	0.9911000000000001	1	0.9900000000000001	0.0158	0.35660000000000003	0.9674	0.35550000000000004	1	0.558	1	0.9775	0	0.0821	0.7813	0	0.8668	0.034800000000000005
6	2.54786	0.8658	1	1	0	0.0115	1	0.4581	1	0.3962	0.9933000000000001	0.9943000000000001	0.8801	0.022500000000000003	0.9158000000000001	0	0.7051000000000001	0.09680000000000001
7	2.540453	0.002	0.9640000000000001	0.9201	0	1	0.1928	0.7333000000000001	0.9285	0.9658	0.2506	0.9127000000000001	0	0.1603	0.6859000000000001	0.4431	1	0.6848000000000001
8	2.54	0.23820000000000002	0.9862000000000001	1	0	1	0.033600000000000005	0.7032	0.9828	0.8737	0.4138	0.9314	0.0162	0.0918	0.8201	0.3073	0.9182	0.5964
9	2.536831	0.9710000000000001	0.9954000000000001	0.9761000000000001	0	0.0451	0.9468000000000001	0.5223	1	0.46090000000000003	0.9166000000000001	0.8723000000000001	0.9217000000000001	0.0158	0.887	0.0864	0.9356000000000001	0
10	2.535885	0.8951	1	1	0.0028	0.3294	0.8305	0.215	1	0.604	1	1	0.024800000000000003	0.0794	0.8914000000000001	0	0.8777	0.031400000000000004
11	2.5357	0.9331	1	0.9751000000000001	0.0704	0.3528	0.7906000000000001	0.2942	0.9660000000000001	0.5664	1	1	0	0	0.8568	0	0.893	0.10200000000000001
12	2.5351649999999997	0.1996	0.9627	0.9575	0.017400000000000002	0.9719000000000001	0.11810000000000001	0.7325	1	0.9085000000000001	0.402	0.9299000000000001	0	0.2033	0.7392000000000001	0.3493	1	0.596
13	2.5257609999999997	0.1173	0.9514	1	0	0.7108	0	0.8397	0.5691	0.9117000000000001	0.32020000000000004	0.40840000000000004	0	0.1457	0.5257000000000001	0.6528	1	0.7662
14	2.5242389999999997	0.8829	1	1	0	0.1857	1	0.6222	0.9712000000000001	0.9327000000000001	0.23270000000000002	0.9027000000000001	0.9217000000000001	0.12490000000000001	0.7436	0	1	0.0449
