"gen"	"elapsed_min"	"best_sweep"	"tft_sweep"	"improvement"	"hof_size"	"islands_restarted"
5	6.5200000000000005	2.432819	2.288107	0.144712	14	0
10	12.98	2.5021809999999998	2.288107	0.214074	14	0
15	19.42	2.514383	2.288107	0.22627599999999998	14	0
20	25.900000000000002	2.5179419999999997	2.288107	0.22983499999999998	14	0
25	32.38	2.5357	2.288107	0.24759299999999998	14	0
30	38.9	2.5357	2.288107	0.24759299999999998	14	0
35	45.4	2.535885	2.288107	0.247778	14	0
40	51.9	2.5493419999999998	2.288107	0.261235	14	0
45	58.370000000000005	2.5507	2.288107	0.26259299999999997	14	0
50	64.9	2.5507	2.288107	0.26259299999999997	14	0
55	71.4	2.562942	2.288107	0.274835	14	0
60	78.23	2.562942	2.288107	0.274835	14	0
65	84.69	2.562942	2.288107	0.274835	14	0
70	91.15	2.562942	2.288107	0.274835	14	0
75	97.60000000000001	2.5660909999999997	2.288107	0.277984	14	0
80	104.24000000000001	2.5660909999999997	2.288107	0.277984	14	0
85	110.93	2.5660909999999997	2.288107	0.277984	14	0
90	117.38	2.5660909999999997	2.288107	0.277984	14	0
95	123.89	2.5660909999999997	2.288107	0.277984	14	0
100	130.32	2.5660909999999997	2.288107	0.277984	14	0
105	236.69	2.5660909999999997	2.288107	0.277984	14	0
110	439.69	2.5660909999999997	2.288107	0.277984	14	0
