"strategy","isChampion","noise","field_score"
"AllC",0,0,2.7882000000000002
"AllC",0,0.02,2.557
"AllC",0,0.05,2.4619
"AllC",0,0.1,2.3643
"AllC",0,0.15,2.2868
"AllC",0,0.2,2.2441
"AllD",0,0,1.8611000000000002
"AllD",0,0.02,1.9838
"AllD",0,0.05,2.1038
"AllD",0,0.1,2.2339
"AllD",0,0.15,2.3240000000000003
"AllD",0,0.2,2.3906
"Random",0,0,2.4327
"Random",0,0.02,2.4079
"Random",0,0.05,2.3782
"Random",0,0.1,2.3831
"Random",0,0.15,2.3608000000000002
"Random",0,0.2,2.3555
"TitForTat",0,0,2.7805
"TitForTat",0,0.02,2.4295
"TitForTat",0,0.05,2.4089
"TitForTat",0,0.1,2.386
"TitForTat",0,0.15,2.3667000000000002
"TitForTat",0,0.2,2.3581000000000003
"SuspiciousTFT",0,0,2.3607
"SuspiciousTFT",0,0.02,2.3904
"SuspiciousTFT",0,0.05,2.3885
"SuspiciousTFT",0,0.1,2.3743000000000003
"SuspiciousTFT",0,0.15,2.3488
"SuspiciousTFT",0,0.2,2.3298
"GenerousTFT",0,0,2.8282000000000003
"GenerousTFT",0,0.02,2.5805000000000002
"GenerousTFT",0,0.05,2.4928
"GenerousTFT",0,0.1,2.4054
"GenerousTFT",0,0.15,2.3565
"GenerousTFT",0,0.2,2.3280000000000003
"TitFor2Tats",0,0,2.8032
"TitFor2Tats",0,0.02,2.5980000000000003
"TitFor2Tats",0,0.05,2.521
"TitFor2Tats",0,0.1,2.4296
"TitFor2Tats",0,0.15,2.3667000000000002
"TitFor2Tats",0,0.2,2.3203
"2TitsForTat",0,0,2.6815
"2TitsForTat",0,0.02,2.2012
"2TitsForTat",0,0.05,2.2208
"2TitsForTat",0,0.1,2.2880000000000003
"2TitsForTat",0,0.15,2.3301000000000003
"2TitsForTat",0,0.2,2.3457
"Grim",0,0,2.6870000000000003
"Grim",0,0.02,2.0889
"Grim",0,0.05,2.1109
"Grim",0,0.1,2.2103
"Grim",0,0.15,2.3066
"Grim",0,0.2,2.3658
"Pavlov",0,0,2.6894
"Pavlov",0,0.02,2.3197
"Pavlov",0,0.05,2.2743
"Pavlov",0,0.1,2.2811
"Pavlov",0,0.15,2.3024
"Pavlov",0,0.2,2.2937000000000003
"Gradual",0,0,2.6956
"Gradual",0,0.02,2.1048
"Gradual",0,0.05,2.1270000000000002
"Gradual",0,0.1,2.2474000000000003
"Gradual",0,0.15,2.3188
"Gradual",0,0.2,2.3846000000000003
"ZD-Extort-2",0,0,2.0912
"ZD-Extort-2",0,0.02,2.2123
"ZD-Extort-2",0,0.05,2.2712000000000003
"ZD-Extort-2",0,0.1,2.345
"ZD-Extort-2",0,0.15,2.3602000000000003
"ZD-Extort-2",0,0.2,2.3442000000000003
"ZD-Generous",0,0,2.8269
"ZD-Generous",0,0.02,2.511
"ZD-Generous",0,0.05,2.439
"ZD-Generous",0,0.1,2.3996
"ZD-Generous",0,0.15,2.3712
"ZD-Generous",0,0.2,2.3363
"ContriteTFT",0,0,2.7816
"ContriteTFT",0,0.02,2.4329
"ContriteTFT",0,0.05,2.4051
"ContriteTFT",0,0.1,2.3769
"ContriteTFT",0,0.15,2.3472
"ContriteTFT",0,0.2,2.3221000000000003
"Remorse",0,0,2.7945
"Remorse",0,0.02,2.5962
"Remorse",0,0.05,2.5034
"Remorse",0,0.1,2.3911000000000002
"Remorse",0,0.15,2.3299000000000003
"Remorse",0,0.2,2.2889
"Adaptive",0,0,2.8454
"Adaptive",0,0.02,2.6542000000000003
"Adaptive",0,0.05,2.5525
"Adaptive",0,0.1,2.4368000000000003
"Adaptive",0,0.15,2.3765
"Adaptive",0,0.2,2.3171
"OmegaTFT",0,0,2.8242000000000003
"OmegaTFT",0,0.02,2.4362
"OmegaTFT",0,0.05,2.4036
"OmegaTFT",0,0.1,2.3914
"OmegaTFT",0,0.15,2.3811
"OmegaTFT",0,0.2,2.3735
"HardMajority",0,0,2.3956
"HardMajority",0,0.02,2.3198000000000003
"HardMajority",0,0.05,2.2854
"HardMajority",0,0.1,2.2762000000000002
"HardMajority",0,0.15,2.2799
"HardMajority",0,0.2,2.2864
"AdaptiveGenerous",1,0,2.8403
"AdaptiveGenerous",1,0.02,2.5868
"AdaptiveGenerous",1,0.05,2.5197000000000003
"AdaptiveGenerous",1,0.1,2.4210000000000003
"AdaptiveGenerous",1,0.15,2.3547000000000002
"AdaptiveGenerous",1,0.2,2.3203
"ContriteTF2T",1,0,2.8155
"ContriteTF2T",1,0.02,2.6057
"ContriteTF2T",1,0.05,2.4977
"ContriteTF2T",1,0.1,2.3976
"ContriteTF2T",1,0.15,2.3291
"ContriteTF2T",1,0.2,2.2709
"GenerousTF2T-0.3",1,0,2.8249
"GenerousTF2T-0.3",1,0.02,2.6332
"GenerousTF2T-0.3",1,0.05,2.5233000000000003
"GenerousTF2T-0.3",1,0.1,2.4101
"GenerousTF2T-0.3",1,0.15,2.3401
"GenerousTF2T-0.3",1,0.2,2.3055000000000003
"GenerousTFT-0.1",1,0,2.8227
"GenerousTFT-0.1",1,0.02,2.5114
"GenerousTFT-0.1",1,0.05,2.4525
"GenerousTFT-0.1",1,0.1,2.4102
"GenerousTFT-0.1",1,0.15,2.3646000000000003
"GenerousTFT-0.1",1,0.2,2.3395
"GenerousTFT-0.2",1,0,2.8267
"GenerousTFT-0.2",1,0.02,2.5486
"GenerousTFT-0.2",1,0.05,2.458
"GenerousTFT-0.2",1,0.1,2.4057
