"vs","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
"AllC",3,0,1.5186,3,2.985,3,3,3,3,3,3,2.2584,3
"AllD",5,1,3.0008,1.02,1,2.3554,1.04,1.02,1.02,3,1.02,1.02,1.904
"Random",3.9876,0.4998,2.24085,2.26315,2.24435,2.85125,3.13515,1.39585,0.54045,2.26605,0.5648,1.7372,2.5564
"TitForTat",3,0.995,2.25165,3,2.5,3,3,3,3,3,3,1.07755,3
"SuspiciousTFT",3.01,1,2.2566,2.5,1,2.996,3.01,1.015,1.015,2.005,1.03,1.0426,2.98005
"GenerousTFT",3,0.66115,2.002,3,2.971,3,3,3,3,3,3,1.93255,3
"TitFor2Tats",3,0.99,1.86865,3,2.985,3,3,3,3,3,3,1.2646,3
"2TitsForTat",3,0.995,2.6281,3,1.015,3,3,3,3,3,3,1.0524,3
"Grim",3,0.995,2.9707,3,1.015,3,3,3,3,3,3,1.0469,3
"Pavlov",3,0.5,2.24055,3,2.005,3,3,3,3,3,3,1.65215,3
"Gradual",3,0.995,2.9863,3,1.03,3,3,3,3,3,3,1.0641,3
"ZD-Extort-2",3.4944,0.995,2.4812,1.10255,1.0426,2.79805,1.4836,1.06115,1.0554,2.2719,1.07485,1.04155,2.35305
"ZD-Generous",3,0.774,2.10365,3,2.95505,3,3,3,3,3,3,1.6943,3
