"gen","AllC","AllD","Random","TitForTat","SuspiciousTFT","GenerousTFT","TitFor2Tats","2TitsForTat","Grim","Pavlov","Gradual","ZD-Extort-2","ZD-Generous"
1,0.08436514346829357,0.058565750397347106,0.06576525560966347,0.08454961001891283,0.06219386325205969,0.08634761229675704,0.0853808026780865,0.08175806202904719,0.08268245620990182,0.0835478810633658,0.08268570452030895,0.05581343200239814,0.08634442645385776
21,0.10977764347843663,0.00023499372061246523,0.0005326977926517204,0.1134663054756288,0.0004990782299011875,0.12137535161235206,0.11685904235202092,0.09909793393013168,0.10438050557892299,0.10714687119939226,0.10435173305750067,0.00021583964518740898,0.12206200392726102
41,0.10984145783383675,0.00021815061300923112,0.00029468679677430143,0.11352750999948394,0.0002977340891755215,0.12147488248372446,0.11694025044078649,0.09910067159944626,0.10438943967387009,0.10718214267677316,0.10436083232124713,0.00020743527587884061,0.12216480619599376
61,0.10985821853187482,0.00021817042549565776,0.0002942015664163667,0.11352839801973778,0.00029729399792744257,0.12150344039788681,0.11695741757639076,0.09907776950867148,0.10435947244629601,0.10717447216509271,0.10433124181794724,0.00020745707184415972,0.12219244647441894
81,0.10987461147965907,0.0002181935801426235,0.00029427093619752343,0.11352912181635855,0.00029735730217837503,0.12153148579532669,0.11697420762922589,0.09905511516836982,0.10432982679895292,0.10716678036200207,0.10430196754711013,0.00020747986718216033,0.12221958171729431
101,0.10989075270287016,0.00021821641115421357,0.0002943406830627031,0.113529821590912,0.000297421048520838,0.12155918893622458,0.11699077361286367,0.09903275779734942,0.10430058120511669,0.10715916446665898,0.10427308762503923,0.00020750236288286686,0.12224639155734439
121,0.10990664628135716,0.00021823892051754006,0.0002944095213336346,0.11353049817025992,0.00029748398390428885,0.121586554391254,0.11700711886744518,0.0990106936111247,0.10427173042504433,0.10715162406078713,0.10424459689840479,0.0002075245616101095,0.1222728803069571
141,0.10992229595828545,0.00021826111269889224,0.00029447745950444385,0.11353115203411492,0.0002975461152499171,0.12161358627293112,0.11702324632456468,0.09898891875787791,0.104243269102619,0.10714415849545417,0.10421649009704503,0.0002075464672428286,0.12229905180241141
161,0.10993770542047113,0.00021828299210928083,0.0002945445089691969,0.11353178365294798,0.00029760745253084274,0.12164028864271935,0.11703915887616154,0.09896742943616209,0.10421519195418946,0.10713676712500475,0.10418876202195886,0.00020756808361341897,0.12232490983316227
181,0.1099528782998923,0.0002183045631003475,0.0002946106809953854,0.1135323934889486,0.000297668005612521,0.12166666551264355,0.11705485937594193,0.09894622189450203,0.10418749376801072,0.10712944930763604,0.10416140754476587,0.0002075894145055862,0.12235045814344513
201,0.1099678181744903,0.00021832582996509492,0.00029467598671808364,0.11353298199616052,0.00029772778424589936,0.12169272084589652,0.11707035063988361,0.09892529243073982,0.1041601694032676,0.10712220440540966,0.10413442160674789,0.00020761046365491627,0.12237570043282017
221,0.1099825285689565,0.00021834679693861808,0.0002947404371411948,0.11353354962061275,0.00029778679806850573,0.12171845855743306,0.11708563544673194,0.09890463739138744,0.10413321378910885,0.10711503178426145,0.10410779921790356,0.00020763123474944412,0.12240064035670695
241,0.10999701295550837,0.0002183674681988303,0.0002948040431387112,0.11353409680044883,0.0002978450566055529,0.12174388251455909,0.11710071653848843,0.09888425317098833,0.10410662192369585,0.1071079308140095,0.1040815354560148,0.00020765173143021852,0.12242528152691334
261,0.11001127475465532,0.00021838784786718093,0.00029486681545597197,0.11353462396605471,0.00029790256927103955,0.12176899653751237,0.11711559662089438,0.09886413621148728,0.10408038887326371,0.1071009008683622,0.10405562546572661,0.00020767195729186078,0.12244962751215749
281,0.11002531733595217,0.00021840794000936445,0.00029492876471091326,0.11353513154018322,0.00029795934536884326,0.12179380440003601,0.11713027836390709,0.09884428300160795,0.10405450977119454,0.10709394132492518,0.10403006445763861,0.0002076919158831172,0.12247368183858322
301,0.11003914401874362,0.00021842774863602442,0.00029498990139531804,0.1135356199380788,0.0002980153940938116,0.12181830982994582,0.11714476440217024,0.09882469007623926,0.10402897981710386,0.10708705156520723,0.10400484770740916,0.00020771161070740708,0.1224974479902697
321,0.11005275807289716,0.00021844727770344897,0.00029505023587605777,0.11353608956759806,0.0002980707245328467,0.12184251650968958,0.11715905733547824,0.09880535401582934,0.10400379427593909,0.10708023097462592,0.10397997055487192,0.00020773104522336564,0.12252092940973502
341,0.1100661627195261,0.00021846653111425832,0.0002951097783963314,0.11353654082933047,0.00029812534566598303,0.12186642807690046,0.11717315972923471,0.09878627144578746,0.10397894847709031,0.10707347894251203,0.10395542840316375,0.00020775022284537934,0.12254412949843262
361,0.1100793611317022,0.00021848551271808682,0.0002951685390768985,0.11353697411671566,0.00029817926636746306,0.12189004812494265,0.11718707411490452,0.09876743903589383,0.10395443781351298,0.1070667948621137,0.10393121671786455,0.0002077691469441191,0.12256705161724353
381,0.11009235643515777,0.00021850422631225524,0.00029522652791730606,0.11353738981616013,0.00029823249540680255,0.12191338020345127,0.11720080299045976,0.09874885349971703,0.1039302577408624,0.10706017813059923,0.10390733102614871,0.00020778782084706477,0.12258969908696044
401,0.11010515170897887,0.00021852267564243866,0.0002952837547971122,0.11353778830715125,0.00029828504144985567,0.12193642781886511,0.11721434882082123,0.09873051159403926,0.10390640377664014,0.10705362814905982,0.10388376691594817,0.0002078062478390269,0.12261207518876788
421,0.1101177499862873,0.00021854086440332472,0.0002953402294771011,0.1135381699623706,0.00029833691305986834,0.12195919443495293,0.11722771403829221,0.09871241011828852,0.10388287149935219,0.10704714432251115,0.10386052003512697,0.00020782443116266152,0.12263418316471522
441,0.11013015425491422,0.00021855879623926673,0.0002953959616004949,0.11353853514780415,0.0002983881186985309,0.12198168347333341,0.11724090104298866,0.09869454591397916,0.10385965654767788,0.10704072605989431,0.10383758609066619,0.00020784237401898106,0.12265602621818478
461,0.11014236745806323,0.00021857647474492762,0.00029545096069415644,0.11353888422285202,0.00029843866672701923,0.1220038983139887,0.11725391220326163,0.0986769158641584,0.10383675461965075,0.10703437277407658,0.10381496084786088,0.00020786007956785814,0.12267760751435396
